V1 - First Repetition;;;;;;;;;;
error;17,09388347;;;;;;;;;
reached.threshold;0,009915029;;;;;;;;;
steps;317;;;;;;;;;
Intercept.to.1layhid1;0,001026079;;;;;;;;;
LiqG_2017.to.1layhid1;-0,76934214;;;;;;;;;
Mliq_2017.to.1layhid1;-0,737359043;;;;;;;;;
CompEnd_2017.to.1layhid1;0,264803706;;;;;;;;;
End_2017.to.1layhid1;-1,018690458;;;;;;;;;
EBITDA_2017.to.1layhid1;-0,418283445;;;;;;;;;
ROI_2017.to.1layhid1;-1,069721869;;;;;;;;;
ROE_2017.to.1layhid1;-0,237253285;;;;;;;;;
PCT_2017.to.1layhid1;0,373382766;;;;;;;;;
GA_2017.to.1layhid1;-0,377777558;;;;;;;;;
QE_2017.to.1layhid1;0,15987496;;;;;;;;;
EstAgri_2017.to.1layhid1;1,067300213;;;;;;;;;
PF_2017.to.1layhid1;-0,308662365;;;;;;;;;
VC_2017.to.1layhid1;-0,141167126;;;;;;;;;
VS_2017.to.1layhid1;-0,063650648;;;;;;;;;
TXPIB_2017.to.1layhid1;2,203757229;;;;;;;;;
Lucr_2016.to.1layhid1;-0,80843348;;;;;;;;;
Lucr_2015.to.1layhid1;-0,077628304;;;;;;;;;
Lucr_2014.to.1layhid1;0,996593592;;;;;;;;;
Lucr_2013.to.1layhid1;0,204563939;;;;;;;;;
Lucr_2012.to.1layhid1;-0,592462662;;;;;;;;;
Lucr_2011.to.1layhid1;-0,960091784;;;;;;;;;
Intercept.to.1layhid2;0,901307972;;;;;;;;;
LiqG_2017.to.1layhid2;1,669236628;;;;;;;;;
Mliq_2017.to.1layhid2;1,236579836;;;;;;;;;
CompEnd_2017.to.1layhid2;-0,508609124;;;;;;;;;
End_2017.to.1layhid2;1,541880635;;;;;;;;;
EBITDA_2017.to.1layhid2;-0,131980364;;;;;;;;;
ROI_2017.to.1layhid2;1,150518846;;;;;;;;;
ROE_2017.to.1layhid2;-0,361811631;;;;;;;;;
PCT_2017.to.1layhid2;-0,101840225;;;;;;;;;
GA_2017.to.1layhid2;0,217958756;;;;;;;;;
QE_2017.to.1layhid2;0,371311312;;;;;;;;;
EstAgri_2017.to.1layhid2;-0,214464414;;;;;;;;;
PF_2017.to.1layhid2;-1,452685756;;;;;;;;;
VC_2017.to.1layhid2;-1,276709202;;;;;;;;;
VS_2017.to.1layhid2;1,348668729;;;;;;;;;
TXPIB_2017.to.1layhid2;0,513912498;;;;;;;;;
Lucr_2016.to.1layhid2;0,299171904;;;;;;;;;
Lucr_2015.to.1layhid2;-0,4585577;;;;;;;;;
Lucr_2014.to.1layhid2;-0,874506177;;;;;;;;;
Lucr_2013.to.1layhid2;0,440433354;;;;;;;;;
Lucr_2012.to.1layhid2;0,300328527;;;;;;;;;
Lucr_2011.to.1layhid2;0,821619891;;;;;;;;;
Intercept.to.1layhid3;1,883989137;;;;;;;;;
LiqG_2017.to.1layhid3;1,558614568;;;;;;;;;
Mliq_2017.to.1layhid3;-0,519194115;;;;;;;;;
CompEnd_2017.to.1layhid3;-0,142184676;;;;;;;;;
End_2017.to.1layhid3;-0,968301013;;;;;;;;;
EBITDA_2017.to.1layhid3;-0,604154048;;;;;;;;;
ROI_2017.to.1layhid3;-0,077147402;;;;;;;;;
ROE_2017.to.1layhid3;0,597532448;;;;;;;;;
PCT_2017.to.1layhid3;-0,55112505;;;;;;;;;
GA_2017.to.1layhid3;1,345663449;;;;;;;;;
QE_2017.to.1layhid3;0,152298457;;;;;;;;;
EstAgri_2017.to.1layhid3;0,070937146;;;;;;;;;
PF_2017.to.1layhid3;0,184318676;;;;;;;;;
VC_2017.to.1layhid3;-0,258784869;;;;;;;;;
VS_2017.to.1layhid3;-1,394262647;;;;;;;;;
TXPIB_2017.to.1layhid3;0,071497712;;;;;;;;;
Lucr_2016.to.1layhid3;0,19262182;;;;;;;;;
Lucr_2015.to.1layhid3;0,55535896;;;;;;;;;
Lucr_2014.to.1layhid3;-1,03148531;;;;;;;;;
Lucr_2013.to.1layhid3;1,040783393;;;;;;;;;
Lucr_2012.to.1layhid3;0,367078485;;;;;;;;;
Lucr_2011.to.1layhid3;-1,235785455;;;;;;;;;
Intercept.to.1layhid4;0,526871868;;;;;;;;;
LiqG_2017.to.1layhid4;-1,194229255;;;;;;;;;
Mliq_2017.to.1layhid4;1,195762375;;;;;;;;;
CompEnd_2017.to.1layhid4;-0,704484006;;;;;;;;;
End_2017.to.1layhid4;-0,132116479;;;;;;;;;
EBITDA_2017.to.1layhid4;1,358125567;;;;;;;;;
ROI_2017.to.1layhid4;1,327461856;;;;;;;;;
ROE_2017.to.1layhid4;1,49521724;;;;;;;;;
PCT_2017.to.1layhid4;0,221165036;;;;;;;;;
GA_2017.to.1layhid4;0,279342637;;;;;;;;;
QE_2017.to.1layhid4;-2,633968873;;;;;;;;;
EstAgri_2017.to.1layhid4;0,861319851;;;;;;;;;
PF_2017.to.1layhid4;-1,055082761;;;;;;;;;
VC_2017.to.1layhid4;0,832211518;;;;;;;;;
VS_2017.to.1layhid4;0,081230095;;;;;;;;;
TXPIB_2017.to.1layhid4;-1,942670668;;;;;;;;;
Lucr_2016.to.1layhid4;-0,090189895;;;;;;;;;
Lucr_2015.to.1layhid4;0,949086454;;;;;;;;;
Lucr_2014.to.1layhid4;-0,48689198;;;;;;;;;
Lucr_2013.to.1layhid4;1,230431327;;;;;;;;;
Lucr_2012.to.1layhid4;0,084255644;;;;;;;;;
Lucr_2011.to.1layhid4;-0,282324255;;;;;;;;;
